06-13 23:38:35.788 |-INFO  c.j.c.p.CaptchaPracticeApplication:55 - Starting CaptchaPracticeApplication on DESKTOP-CKBJLED with PID 5872 (D:\PracticeProjectFile\mypracticefile\springboot-practice\captcha\target\classes started by admin in D:\PracticeProjectFile\mypracticefile\springboot-practice)
06-13 23:38:35.794 |-INFO  c.j.c.p.CaptchaPracticeApplication:651 - No active profile set, falling back to default profiles: default
06-13 23:38:36.696 |-INFO  o.s.d.r.c.RepositoryConfigurationDelegate:249 - Multiple Spring Data modules found, entering strict repository configuration mode!
06-13 23:38:36.699 |-INFO  o.s.d.r.c.RepositoryConfigurationDelegate:127 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
06-13 23:38:36.743 |-INFO  o.s.d.r.c.RepositoryConfigurationDelegate:187 - Finished Spring Data repository scanning in 19ms. Found 0 Redis repository interfaces.
06-13 23:38:37.311 |-INFO  o.s.b.w.e.tomcat.TomcatWebServer:92 - Tomcat initialized with port(s): 8080 (http)
06-13 23:38:37.320 |-INFO  o.a.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-8080"]
06-13 23:38:37.321 |-INFO  o.a.catalina.core.StandardService:173 - Starting service [Tomcat]
06-13 23:38:37.322 |-INFO  o.a.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.31]
06-13 23:38:37.462 |-INFO  o.a.c.c.C.[Tomcat].[localhost].[/]:173 - Initializing Spring embedded WebApplicationContext
06-13 23:38:37.462 |-INFO  o.s.web.context.ContextLoader:284 - Root WebApplicationContext: initialization completed in 1603 ms
06-13 23:38:37.803 |-INFO  c.a.c.c.AjCaptchaServiceAutoConfiguration:33 - 自定义配置项：
AjCaptchaProperties{type=DEFAULT, jigsaw='classpath:images/jigsaw', picClick='classpath:images/pic-click', waterMark='我的水印', waterFont='WenQuanZhengHei.ttf', fontType='WenQuanZhengHei.ttf', slipOffset='5', aesStatus=true, interferenceOptions='2', cacheNumber='1000', timingClear='180', cacheType=local, reqFrequencyLimitEnable=false, reqGetLockLimit=5, reqGetLockSeconds=360, reqGetMinuteLimit=30, reqCheckMinuteLimit=30, reqVerifyMinuteLimit=100}
06-13 23:38:37.845 |-INFO  com.anji.captcha.util.ImageUtils:58 - 自定义resource底图:[SLIDING_BLOCK=[Ljava.lang.String;@719843e5, ORIGINAL=[Ljava.lang.String;@9a2ec9b, PIC_CLICK=[Ljava.lang.String;@58112bc4]
06-13 23:38:37.847 |-INFO  c.a.c.s.impl.CaptchaServiceFactory:52 - supported-captchaCache-service:[local]
06-13 23:38:37.850 |-INFO  c.a.c.s.impl.CaptchaServiceFactory:58 - supported-captchaTypes-service:[clickWord, default, blockPuzzle]
06-13 23:38:37.850 |-INFO  c.a.c.s.i.ClickWordCaptchaServiceImpl:76 - --->>>初始化验证码底图<<<---clickWord
06-13 23:38:38.137 |-INFO  c.a.c.s.i.ClickWordCaptchaServiceImpl:92 - 初始化local缓存...
06-13 23:38:38.265 |-INFO  c.a.c.s.i.BlockPuzzleCaptchaServiceImpl:76 - --->>>初始化验证码底图<<<---blockPuzzle
06-13 23:38:38.374 |-INFO  c.a.c.s.i.BlockPuzzleCaptchaServiceImpl:92 - 初始化local缓存...
06-13 23:38:38.522 |-INFO  o.s.s.c.ThreadPoolTaskExecutor:181 - Initializing ExecutorService 'applicationTaskExecutor'
06-13 23:38:38.726 |-INFO  o.a.coyote.http11.Http11NioProtocol:173 - Starting ProtocolHandler ["http-nio-8080"]
06-13 23:38:38.748 |-INFO  o.s.b.w.e.tomcat.TomcatWebServer:204 - Tomcat started on port(s): 8080 (http) with context path ''
06-13 23:38:38.750 |-INFO  c.j.c.p.CaptchaPracticeApplication:61 - Started CaptchaPracticeApplication in 3.51 seconds (JVM running for 5.54)
06-13 23:38:40.996 |-INFO  o.s.s.c.ThreadPoolTaskExecutor:218 - Shutting down ExecutorService 'applicationTaskExecutor'
